year,season,time,total_pedestrian,to_manhattan,to_brooklyn,weather,event
2019,Fall,02:00:00 AM,0,0,0,partly cloudy night,
2019,Fall,08:00:00 AM,132,48,84,rain,
2019,Fall,04:00:00 PM,1895,889,1006,partly cloudy day,
2019,Spring,01:00:00 AM,36,25,11,partly cloudy night,Daylight Saving Time starts
2019,Fall,03:00:00 PM,1916,908,1008,clear day,
2019,Spring,06:00:00 PM,703,371,332,cloudy,
2019,Winter,07:00:00 AM,180,92,88,clear night,
2019,Fall,10:00:00 AM,1000,524,476,partly cloudy day,
2019,Spring,08:00:00 AM,284,106,178,clear day,
2019,Summer,04:00:00 AM,0,0,0,partly cloudy night,
2019,Summer,02:00:00 PM,1299,583,716,partly cloudy day,
2019,Summer,01:00:00 AM,2,1,1,clear night,
2019,Winter,10:00:00 PM,30,29,1,clear night,
2019,Winter,08:00:00 AM,260,102,158,cloudy,
2019,Fall,04:00:00 PM,2352,1031,1321,partly cloudy day,
2019,Summer,01:00:00 PM,2387,1005,1382,partly cloudy day,
2019,Fall,04:00:00 AM,0,0,0,partly cloudy night,
2019,Summer,06:00:00 AM,139,48,91,cloudy,
2019,Spring,03:00:00 PM,1833,840,993,partly cloudy day,
2019,Spring,03:00:00 PM,1954,890,1064,clear day,
2019,Spring,03:00:00 AM,0,0,0,cloudy,
2019,Spring,07:00:00 AM,137,55,82,partly cloudy day,
2019,Fall,04:00:00 PM,2056,887,1169,cloudy,
2019,Summer,06:00:00 PM,1323,733,590,cloudy,
2019,Summer,05:00:00 PM,2337,1043,1294,clear day,
2019,Winter,11:00:00 PM,8,4,4,partly cloudy night,
2019,Summer,03:00:00 AM,0,0,0,cloudy,
2019,Summer,06:00:00 AM,150,70,80,clear day,
2019,Spring,11:00:00 PM,0,0,0,partly cloudy night,
2019,Fall,04:00:00 PM,2239,1073,1166,partly cloudy day,
2019,Winter,01:00:00 AM,1,0,1,partly cloudy night,
2019,Winter,11:00:00 AM,522,292,230,clear day,
2019,Summer,06:00:00 PM,1044,598,446,partly cloudy day,
2019,Summer,01:00:00 AM,3,1,2,partly cloudy night,
2019,Summer,02:00:00 PM,1877,885,992,cloudy,
2019,Spring,01:00:00 AM,2,0,2,partly cloudy night,
2019,Fall,10:00:00 PM,11,6,5,partly cloudy night,
2019,Fall,03:00:00 AM,0,0,0,clear night,
2019,Spring,02:00:00 AM,1,0,1,clear night,
2019,Spring,11:00:00 PM,7,0,7,cloudy,
2019,Fall,01:00:00 AM,1,0,1,clear night,
2019,Winter,01:00:00 AM,2,1,1,partly cloudy night,
2019,Winter,05:00:00 PM,30,23,7,partly cloudy night,
2019,Spring,12:00:00 PM,1600,702,898,cloudy,
2019,Spring,08:00:00 PM,261,157,104,partly cloudy night,
2019,Winter,01:00:00 PM,1958,856,1102,rain,
2019,Fall,04:00:00 PM,2358,1006,1352,clear day,
2019,Winter,06:00:00 AM,69,42,27,partly cloudy night,
2019,Summer,04:00:00 PM,3116,1370,1746,partly cloudy day,
2019,Fall,07:00:00 PM,608,264,344,clear night,
2019,Summer,07:00:00 AM,263,120,143,clear day,
2019,Winter,09:00:00 PM,78,76,2,cloudy,
2019,Spring,05:00:00 PM,1926,897,1029,partly cloudy day,
2019,Summer,06:00:00 PM,1511,848,663,partly cloudy day,
2019,Winter,09:00:00 AM,396,237,159,partly cloudy day,
2019,Spring,09:00:00 PM,32,11,21,partly cloudy night,
2019,Summer,02:00:00 AM,1,0,1,clear night,
2019,Winter,09:00:00 PM,5,4,1,clear night,
2019,Winter,04:00:00 AM,1,0,1,clear night,
2019,Summer,07:00:00 PM,2296,945,1351,partly cloudy day,
2019,Winter,11:00:00 PM,3,0,3,rain,
2019,Winter,09:00:00 AM,257,123,134,clear day,
2019,Fall,03:00:00 AM,1,0,1,clear night,
2019,Fall,08:00:00 PM,61,60,1,clear night,
2019,Summer,02:00:00 PM,1589,663,926,rain,
2019,Fall,09:00:00 PM,59,54,5,clear night,
2019,Winter,02:00:00 AM,1,0,1,clear night,
2019,Spring,03:00:00 PM,3524,1647,1877,clear day,
2019,Fall,09:00:00 PM,3,2,1,partly cloudy night,
2019,Spring,01:00:00 PM,1481,676,805,clear day,
2019,Winter,10:00:00 AM,900,524,376,partly cloudy day,
2019,Spring,03:00:00 AM,0,0,0,cloudy,
2019,Winter,05:00:00 AM,1,0,1,cloudy,
2019,Spring,04:00:00 PM,1632,739,893,cloudy,
2019,Spring,05:00:00 AM,28,12,16,cloudy,
2019,Fall,03:00:00 PM,3335,1431,1904,partly cloudy day,
2019,Summer,04:00:00 AM,0,0,0,partly cloudy night,
2019,Fall,03:00:00 PM,2353,1099,1254,partly cloudy day,
2019,Winter,07:00:00 PM,15,14,1,partly cloudy night,
2019,Summer,11:00:00 PM,1,0,1,cloudy,
2019,Summer,02:00:00 PM,2818,1218,1600,partly cloudy day,
2019,Fall,11:00:00 PM,9,1,8,clear night,
2019,Spring,03:00:00 AM,1,0,1,rain,
2019,Summer,02:00:00 PM,3157,1394,1763,partly cloudy day,
2019,Summer,12:00:00 PM,2521,1174,1347,partly cloudy day,
2019,Spring,03:00:00 AM,2,1,1,partly cloudy night,
2019,Fall,05:00:00 AM,0,0,0,clear night,
2019,Winter,02:00:00 PM,959,416,543,clear day,
2019,Fall,09:00:00 PM,8,0,8,clear night,
2019,Spring,02:00:00 AM,1,0,1,partly cloudy night,
2019,Spring,03:00:00 AM,0,0,0,partly cloudy night,Tax Day
2019,Fall,08:00:00 AM,368,217,151,partly cloudy day,
2019,Spring,03:00:00 AM,1,0,1,cloudy,
2019,Spring,08:00:00 AM,311,196,115,partly cloudy day,
2019,Summer,09:00:00 AM,881,548,333,partly cloudy day,
2019,Winter,01:00:00 PM,354,138,216,sleet,
2019,Winter,03:00:00 AM,0,0,0,clear night,
2019,Winter,02:00:00 AM,0,0,0,clear night,
